1, 770, 1894, 1123, 754, 16, BH, 132, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26564_132_gnrtd_1718110445.pdf
1, 300, 432, 131, 293, 7, BH, 296, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_28077_296_gnrtd_1718035405.pdf
1, 570, 1531, 960, 554, 16, BH, 6, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26564_6_gnrtd_1718091019.pdf
10, 143, 332, 179, 133, 10, BH, 591, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_31333_591_gnrtd_1718013053.pdf
12, 660, 1052, 380, 558, 102, BH, 400, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_29467_400_gnrtd_1718119591.pdf
1, 50, 72, 22, 45, 4, BH, 349, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_28889_349_gnrtd_1718099372.pdf
25, 666, 1325, 634, 618, 48, BH, 209, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_32027_209_gnrtd_1718275595.pdf
2, 653, 1332, 679, 634, 17, BH, 156, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26877_156_gnrtd_1718054971.pdf
10, 452, 1029, 584, 425, 10, BH, 65, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26564_65_gnrtd_1718098282.pdf
2, 405, 1240, 835, 394, 9, BH, 9, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26564_9_gnrtd_1718088839.pdf
1, 264, 374, 110, 245, 18, BH, 265, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_27686_265_gnrtd_1718052301.pdf
30, 711, 1389, 649, 672, 38, BH, 337, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_28665_337_gnrtd_1718276529.pdf
100, 624, 1705, 981, 615, 9, BH, 53, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26564_53_gnrtd_1718278473.pdf
95, 955, 2093, 1043, 928, 27, BH, 142, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26564_142_gnrtd_1718278585.pdf
20, 1119, 1732, 593, 1054, 65, BH, 639, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_31841_639_gnrtd_1718278082.pdf
90, 811, 2106, 1205, 788, 23, BH, 32, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26564_32_gnrtd_1718278362.pdf
3, 201, 276, 75, 187, 11, BH, 270, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_27757_270_gnrtd_1718089631.pdf
2, 458, 580, 122, 449, 7, BH, 402, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_29519_402_gnrtd_1718005703.pdf
12, 637, 1600, 951, 618, 19, BH, 35, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26564_35_gnrtd_1718097589.pdf
4, 614, 939, 321, 566, 48, BH, 268, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_27757_268_gnrtd_1718039330.pdf
22, 600, 1397, 775, 583, 17, BH, 70, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26564_70_gnrtd_1718109578.pdf
9, 280, 454, 165, 270, 10, BH, 254, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_27560_254_gnrtd_1718010066.pdf
12, 777, 1715, 938, 719, 46, BH, 466, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_30274_466_gnrtd_1718008624.pdf
22, 895, 1776, 859, 873, 22, BH, 112, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26564_112_gnrtd_1718126227.pdf
2, 586, 1625, 1039, 562, 22, BH, 90, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26564_90_gnrtd_1718089251.pdf
11, 880, 2017, 1137, 825, 44, BH, 623, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_31716_623_gnrtd_1718046309.pdf
2, 662, 1550, 888, 645, 15, BH, 74, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26564_74_gnrtd_1718089196.pdf
236, 1249, 1817, 422, 1159, 0, BH, 556, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26582_556_gnrtd_1718053365.pdf
10, 418, 1015, 589, 405, 11, BH, 96, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26564_96_gnrtd_1718088955.pdf
10, 244, 344, 90, 234, 10, BH, 527, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_30844_527_gnrtd_1718050041.pdf
1, 761, 869, 108, 729, 31, BH, 569, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_31128_569_gnrtd_1718037259.pdf
87, 801, 1941, 1053, 786, 15, BH, 30, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26564_30_gnrtd_1718278220.pdf
5, 962, 1632, 670, 793, 164, BH, 192, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_30915_192_gnrtd_1718107326.pdf
1, 419, 997, 577, 342, 77, BH, 592, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_31379_592_gnrtd_1717999540.pdf
25, 774, 1773, 999, 713, 36, BH, 124, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26564_124_gnrtd_1718089925.pdf
1, 591, 1552, 961, 583, 7, BH, 170, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_26975_170_gnrtd_1718053261.pdf
6, 633, 1111, 472, 585, 48, BH, 237, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_27329_237_gnrtd_1718040585.pdf
20, 613, 992, 360, 583, 29, BH, 610, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_32153_610_gnrtd_1718277915.pdf
7, 551, 968, 412, 528, 21, BH, 419, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_bh_29724_419_gnrtd_1718026129.pdf
23, 167, 250, 60, 158, 9, BR, 196, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_eup_sv_br_43279_196_gnrtd_1718192822.pdf
