16, 924, 908, 16, 1321, 381, AG, 339, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_339_p_t_20240610_112131.pdf
21, 564, 529, 22, 780, 208, AG, 337, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_337_p_t_20240610_120356.pdf
6, 747, 729, 12, 1700, 953, AG, 147, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_147_p_t_20240610_111117.pdf
2, 457, 445, 9, 723, 267, AG, 327, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_327_p_t_20240610_032340.pdf
2, 570, 551, 17, 911, 341, AG, 271, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_271_p_t_20240610_050213.pdf
1, 588, 572, 15, 1700, 1112, AG, 57, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_57_p_t_20240610_064301.pdf
4, 526, 516, 10, 1200, 670, AG, 155, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_155_p_t_20240610_091446.pdf
1, 383, 370, 12, 700, 317, AG, 188, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_188_p_t_20240610_074924.pdf
36, 1002, 988, 14, 1452, 414, AG, 340, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_340_p_t_20240610_094950.pdf
10, 592, 580, 2, 1600, 1008, AG, 77, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_77_p_t_20240610_214958.pdf
1, 275, 264, 11, 404, 128, AG, 322, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_322_p_t_20240610_035709.pdf
1, 179, 175, 4, 308, 128, AG, 373, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_373_p_t_20240610_160324.pdf
1, 721, 681, 34, 1502, 786, AG, 176, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_176_p_t_20240610_073015.pdf
1, 141, 136, 1, 338, 200, AG, 166, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_166_p_t_20240610_015045.pdf
125, 232, 226, 6, 370, 13, AG, 461, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_461_p_t_20240610_020349.pdf
5, 623, 598, 20, 1700, 1077, AG, 55, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_55_p_t_20240610_042712.pdf
3, 203, 194, 6, 280, 77, AG, 305, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_305_p_t_20240610_041741.pdf
35, 505, 493, 12, 1000, 460, AG, 181, P, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/P/pv_sv_ag_181_p_t_20240610_074327.pdf
2, 677, 652, 23, 1700, 1023, AG, 19, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_19_cl_t_20240610_125931.pdf
5, 364, 350, 10, 555, 190, AG, 326, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_326_cl_t_20240610_111115.pdf
1, 592, 571, 20, 1600, 1008, AG, 77, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_77_cl_t_20240610_214958.pdf
1, 479, 462, 16, 800, 321, AG, 515, CL, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cl_sv_ag_19793_515_gnrtd_1718136472.pdf
3, 788, 762, 19, 1496, 712, AG, 357, CL, https://prezenta.roaep.ro/locale09062024/data/shared/simpv/locale/2024-06/precincts/pv-sv/CL/pv_sv_ag_357_cl_t_20240610_070841.pdf
1, 403, 386, 17, 630, 226, AG, 519, CL, https://prezenta.roaep.ro/locale09062024/data/shared/sicpv/partial/pv_cl_sv_ag_19793_519_gnrtd_1718136069.pdf
